,id,date,news,label,pct_change,text_length,textlemma,textlengthforlemma,word_count,topic,topic_name,Entities,IsEntity
132539,nifty_394,2011-12-28,Celgene Corporation to Present at Two Upcoming Investor Conferences,Rise,0.0103,67,celgene corporation present two upcoming investor conference,60,7,0,pharmacy,"['c', '##el', '##gene', 'corporation', 'present', 'two', 'upcoming', 'investor', 'conference']",1
132774,nifty_394,2011-12-28,Epicore BioNetworks Inc. Strong Start to Fiscal Year 2012,Rise,0.0103,57,epicore bionetworks inc strong start fiscal year,48,7,0,pharmacy,"['epic', '##ore', 'bio', '##net', '##works', 'in', '##c', 'strong', 'start', 'fiscal', 'year']",1
133336,nifty_399,2012-01-09,SK Capital and IBA Join to Accelerate Growth of IBA Molecular Imaging,Rise,0.0087,69,capital and iba join accelerate growth iba molecular imaging,60,9,0,pharmacy,"['capital', 'and', 'i', '##ba', 'join', 'accelerate', 'growth', 'i', '##ba', 'molecular', 'imaging']",1
133395,nifty_399,2012-01-09,Amicus Therapeutics Provides Full-Year 2012 Strategic Outlook and Financial Guidance,Rise,0.0087,84,amicus therapeutic provides full year strategic outlook and financial guidance,78,10,0,pharmacy,"['am', '##icus', 'therapeutic', 'provides', 'full', 'year', 'strategic', 'outlook', 'and', 'financial', 'guidance']",1
133401,nifty_399,2012-01-09,AMAG Pharmaceuticals Provides Business Update,Rise,0.0087,45,amag pharmaceutical provides business update,44,5,0,pharmacy,"['am', '##ag', 'pharmaceutical', 'provides', 'business', 'update']",1
133444,nifty_399,2012-01-09,Next IT Expands Bench of Pharmaceutical Industry Expertise,Rise,0.0087,58,next expands bench pharmaceutical industry expertise,52,6,0,pharmacy,"['next', 'expands', 'bench', 'pharmaceutical', 'industry', 'expertise']",1
133445,nifty_399,2012-01-09,ManTech Enters the Healthcare IT Market with Acquisition of Evolvent Technologies,Rise,0.0087,81,mantech enters the healthcare market with acquisition evolvent technology,73,9,0,pharmacy,"['man', '##tech', 'enters', 'the', 'healthcare', 'market', 'with', 'acquisition', 'evolve', '##nt', 'technology']",1
133456,nifty_399,2012-01-09,Unprecedented Technology Reads & Reacts to Brainwaves Through the Extremities of the Body,Rise,0.0087,89,unprecedented technology read reacts brainwave through the extremity the body,77,10,0,pharmacy,"['unprecedented', 'technology', 'read', 'react', '##s', 'brain', '##wave', 'through', 'the', 'ex', '##tre', '##mity', 'the', 'body']",1
133460,nifty_399,2012-01-09,Research and Markets: Healthcare IT Market Outlook in New Zealand to 2017 - Hospital Information Systems and Medical Imaging Information Systems,Rise,0.0087,144,research and market healthcare market outlook new zealand hospital information system and medical imaging information system,124,16,0,pharmacy,"['research', 'and', 'market', 'healthcare', 'market', 'outlook', 'new', 'z', '##eal', '##and', 'hospital', 'information', 'system', 'and', 'medical', 'imaging', 'information', 'system']",1
133507,nifty_399,2012-01-09,Research and Markets: India Patient Monitoring Market Outlook to 2017,Rise,0.0087,69,research and market india patient monitoring market outlook,59,8,0,pharmacy,"['research', 'and', 'market', 'in', '##dia', 'patient', 'monitoring', 'market', 'outlook']",1
133509,nifty_399,2012-01-09,Open Solutions` Revolutionary DNAappstore Propels Sales of DNA Core Banking Platform,Rise,0.0087,84,open solution revolutionary dnaappstore propels sale dna core banking platform,78,10,0,pharmacy,"['open', 'solution', 'revolutionary', 'd', '##na', '##ap', '##ps', '##tore', 'prop', '##els', 'sale', 'd', '##na', 'core', 'banking', 'platform']",1
133510,nifty_399,2012-01-09,AsepticSure Patent Protection Program Expanded -- Superbugs In Five Countries Get Nervous,Rise,0.0087,89,asepticsure patent protection program expanded superbug five country get nervous,80,10,0,pharmacy,"['as', '##ept', '##ics', '##ure', 'patent', 'protection', 'program', 'expanded', 'superb', '##ug', 'five', 'country', 'get', 'nervous']",1
133542,nifty_399,2012-01-09,e-Therapeutics Outlines Goals for 2012 and Announces Presentation at Biotech Showcase Conference,Rise,0.0087,96,therapeutic outline goal for and announces presentation biotech showcase conference,83,10,0,pharmacy,"['therapeutic', 'outline', 'goal', 'for', 'and', 'announces', 'presentation', 'bio', '##tech', 'showcase', 'conference']",1
133552,nifty_399,2012-01-09,"WuXi PharmaTech Provides Update of 2011 Financial Guidance, to Present at J.P. Morgan Healthcare Conference",Rise,0.0087,107,wuxi pharmatech provides update financial guidance present morgan healthcare conference,87,10,0,pharmacy,"['w', '##ux', '##i', 'p', '##har', '##mate', '##ch', 'provides', 'update', 'financial', 'guidance', 'present', 'm', '##or', '##gan', 'healthcare', 'conference']",1
133588,nifty_399,2012-01-09,Merit Medical to Present at Noble Financial Capital Markets' Equity Conference,Rise,0.0087,78,merit medical present noble financial capital market equity conference,70,9,0,pharmacy,"['merit', 'medical', 'present', 'noble', 'financial', 'capital', 'market', 'equity', 'conference']",1
133611,nifty_399,2012-01-09,Research and Markets: Private Equity and Venture Capital (PE/VC) Activity in Medical Devices - Number of Investments in Smaller Companies has Increased over the Past Four Years,Rise,0.0087,176,research and market private equity and venture capital activity medical device number investment smaller company ha increased over the past four year,149,22,0,pharmacy,"['research', 'and', 'market', 'private', 'equity', 'and', 'venture', 'capital', 'activity', 'medical', 'device', 'number', 'investment', 'smaller', 'company', 'ha', 'increased', 'over', 'the', 'past', 'four', 'year']",1
133612,nifty_399,2012-01-09,"Research and Markets: Critical Care Market to 2017 - Shift of Focus towards PCC, Factor Concentrates and Antithrombins due to Better Safety and Efficacy Profiles",Rise,0.0087,161,research and market critical care market shift focus towards pcc factor concentrate and antithrombins due better safety and efficacy profile,140,20,0,pharmacy,"['research', 'and', 'market', 'critical', 'care', 'market', 'shift', 'focus', 'towards', 'p', '##cc', 'factor', 'concentrate', 'and', 'anti', '##th', '##rom', '##bin', '##s', 'due', 'better', 'safety', 'and', 'efficacy', 'profile']",1
133629,nifty_399,2012-01-09,Research and Markets: Drug Discovery and Preclinical Molecules by Therapy Area - Innovation Focuses on Stem Cell Therapies and Gene Therapies,Rise,0.0087,141,research and market drug discovery and preclinical molecule therapy area innovation focus stem cell therapy and gene therapy,124,18,0,pharmacy,"['research', 'and', 'market', 'drug', 'discovery', 'and', 'pre', '##c', '##lini', '##cal', 'molecule', 'therapy', 'area', 'innovation', 'focus', 'stem', 'cell', 'therapy', 'and', 'gene', 'therapy']",1
133668,nifty_399,2012-01-09,"Research and Markets: Mexico Diagnostic Imaging Market Outlook to 2017 - Ultrasound Systems, MRI Systems, Computed Tomography Systems, Nuclear Imaging Equipment, X-Ray Systems, Mammography Equipment and Others",Rise,0.0087,209,research and market mexico diagnostic imaging market outlook ultrasound system mri system computed tomography system nuclear imaging equipment ray system mammography equipment and others,186,24,0,pharmacy,"['research', 'and', 'market', 'me', '##xi', '##co', 'diagnostic', 'imaging', 'market', 'outlook', 'ultra', '##sound', 'system', 'm', '##ri', 'system', 'com', '##puted', 'to', '##mo', '##graphy', 'system', 'nuclear', 'imaging', 'equipment', 'ray', 'system', 'ma', '##mm', '##ography', 'equipment', 'and', 'others']",1
133685,nifty_399,2012-01-09,Research and Markets: Strategic Development of Neural Stem & Progenitor Cell Products (Updated),Rise,0.0087,95,research and market strategic development neural stem progenitor cell product updated,85,11,0,pharmacy,"['research', 'and', 'market', 'strategic', 'development', 'neural', 'stem', 'pro', '##gen', '##itor', 'cell', 'product', 'updated']",1
133739,nifty_399,2012-01-09,Celgene Corporation Announces 2012 Financial Outlook and Reviews 2011 Achievements,Rise,0.0087,82,celgene corporation announces financial outlook and review achievement,70,8,0,pharmacy,"['c', '##el', '##gene', 'corporation', 'announces', 'financial', 'outlook', 'and', 'review', 'achievement']",1
133792,nifty_399,2012-01-09,Research and Markets: mHealth and Home Monitoring - 4th Edition - These Devices Are Projected To Grow At A CAGR Of 34.6 Percent to 2.47 Million In 2016,Rise,0.0087,151,research and market mhealth and home monitoring edition these device are projected grow cagr percent million,108,16,0,pharmacy,"['research', 'and', 'market', 'm', '##hea', '##lt', '##h', 'and', 'home', 'monitoring', 'edition', 'these', 'device', 'are', 'projected', 'grow', 'ca', '##g', '##r', 'percent', 'million']",1
133872,nifty_399,2012-01-09,FEI Buys ASPEX Corporation,Rise,0.0087,26,fei buy aspex corporation,25,4,0,pharmacy,"['f', '##ei', 'buy', 'as', '##pe', '##x', 'corporation']",1
134083,nifty_399,2012-01-09,Bristol-Myers to Acquire Inhibitex,Rise,0.0087,34,bristol myers acquire inhibitex,31,4,0,pharmacy,"['br', '##ist', '##ol', 'my', '##ers', 'acquire', 'in', '##hibit', '##ex']",1
134403,nifty_404,2012-01-18,"UPDATE 1-Novartis wins backing in China for Lucentis, Galvus",Rise,0.0053,60,update novartis win backing china for lucentis galvus,53,8,0,pharmacy,"['update', 'no', '##var', '##tis', 'win', 'backing', 'chin', '##a', 'for', 'l', '##uce', '##nti', '##s', 'gal', '##vu', '##s']",1
134474,nifty_404,2012-01-18,Research and Markets: The Medical Device Market: Taiwan 2012 Edition - Taiwan Remains a Lucrative Market,Rise,0.0053,104,research and market the medical device market taiwan edition taiwan remains lucrative market,92,13,0,pharmacy,"['research', 'and', 'market', 'the', 'medical', 'device', 'market', 'ta', '##i', '##wan', 'edition', 'ta', '##i', '##wan', 'remains', 'lucrative', 'market']",1
134475,nifty_404,2012-01-18,"Research and Markets: The Medical Device Market: Malaysia - Current Growth in the Market to Be A Strong 9.1% per Year, Reaching US$1.9 Billion, or US$61 Per Capita, By 2016",Rise,0.0053,172,research and market the medical device market malaysia current growth the market strong per year reaching billion per caput,123,19,0,pharmacy,"['research', 'and', 'market', 'the', 'medical', 'device', 'market', 'ma', '##lay', '##sia', 'current', 'growth', 'the', 'market', 'strong', 'per', 'year', 'reaching', 'billion', 'per', 'cap', '##ut']",1
134536,nifty_404,2012-01-18,"UPDATE 2-Novartis wins backing in China for Lucentis, Galvus",Rise,0.0053,60,update novartis win backing china for lucentis galvus,53,8,0,pharmacy,"['update', 'no', '##var', '##tis', 'win', 'backing', 'chin', '##a', 'for', 'l', '##uce', '##nti', '##s', 'gal', '##vu', '##s']",1
134585,nifty_404,2012-01-18,Research and Markets: Assessment of the fast growing Indian Biotech Market,Rise,0.0053,74,research and market assessment the fast growing indian biotech market,69,10,0,pharmacy,"['research', 'and', 'market', 'assessment', 'the', 'fast', 'growing', 'in', '##dian', 'bio', '##tech', 'market']",1
134713,nifty_404,2012-01-18,Research and Markets: the Medical Device Market: South Africa is Expected to Grow at a CAGR of 1.3% from 2011-2016,Rise,0.0053,114,research and market the medical device market south africa expected grow cagr from,82,13,0,pharmacy,"['research', 'and', 'market', 'the', 'medical', 'device', 'market', 'south', 'a', '##f', '##rica', 'expected', 'grow', 'ca', '##g', '##r', 'from']",1
134790,nifty_404,2012-01-18,Research and Markets: NovoLog (Type 2 Diabetes) - Analysis and Forecasts to 2020,Rise,0.0053,80,research and market novolog type diabetes analysis and forecast,63,9,0,pharmacy,"['research', 'and', 'market', 'no', '##vo', '##log', 'type', 'diabetes', 'analysis', 'and', 'forecast']",1
134845,nifty_404,2012-01-18,"Research and Markets: China Pharmaceutical Equipment Industry Report, 2011-2012",Rise,0.0053,79,research and market china pharmaceutical equipment industry report,66,8,0,pharmacy,"['research', 'and', 'market', 'chin', '##a', 'pharmaceutical', 'equipment', 'industry', 'report']",1
134892,nifty_404,2012-01-18,"New Book, 'The Creative Destruction of Medicine,' Describes How Digital Revolution Will Create Better Health Care",Rise,0.0053,113,new book the creative destruction medicine describes how digital revolution will create better health care,106,15,0,pharmacy,"['new', 'book', 'the', 'creative', 'destruction', 'medicine', 'describes', 'how', 'digital', 'revolution', 'will', 'create', 'better', 'health', 'care']",1
134984,nifty_404,2012-01-18, Stellar Biotechnologies Announces Investor Relations Agreement,Rise,0.0053,63,stellar biotechnology announces investor relation agreement,59,6,0,pharmacy,"['stellar', 'bio', '##tech', '##nology', 'announces', 'investor', 'relation', 'agreement']",1
135036,nifty_404,2012-01-18,Research and Markets: Depression - Agomelatine Failure Creates US Market Opportunity,Rise,0.0053,84,research and market depression agomelatine failure creates market opportunity,77,9,0,pharmacy,"['research', 'and', 'market', 'depression', 'ago', '##mel', '##ati', '##ne', 'failure', 'creates', 'market', 'opportunity']",1
135062,nifty_404,2012-01-18,Research and Markets: Strategies for Effective Partnerships Between Pharmaceutical and Diagnostic Companies: a Business Insights Report,Rise,0.0053,135,research and market strategy for effective partnership between pharmaceutical and diagnostic company business insight report,124,15,0,pharmacy,"['research', 'and', 'market', 'strategy', 'for', 'effective', 'partnership', 'between', 'pharmaceutical', 'and', 'diagnostic', 'company', 'business', 'insight', 'report']",1
135116,nifty_404,2012-01-18,Research and Markets: Big Pharma Cuts Down on Early-Stage Research into Neuropathic Pain,Rise,0.0053,88,research and market big pharma cut down early stage research into neuropathic pain,82,13,0,pharmacy,"['research', 'and', 'market', 'big', 'p', '##har', '##ma', 'cut', 'down', 'early', 'stage', 'research', 'into', 'ne', '##uro', '##pathic', 'pain']",1
135118,nifty_404,2012-01-18,Research and Markets: Benchmark the Competitive Landscape within the Stem Cell Sector,Rise,0.0053,85,research and market benchmark the competitive landscape within the stem cell sector,83,12,0,pharmacy,"['research', 'and', 'market', 'bench', '##mark', 'the', 'competitive', 'landscape', 'within', 'the', 'stem', 'cell', 'sector']",1
135284,nifty_404,2012-01-18,"Research and Markets: Hungary Diagnostic Imaging Investment Opportunities, Analysis and Forecasts to 2017",Rise,0.0053,105,research and market hungary diagnostic imaging investment opportunity analysis and forecast,91,11,0,pharmacy,"['research', 'and', 'market', 'hung', '##ary', 'diagnostic', 'imaging', 'investment', 'opportunity', 'analysis', 'and', 'forecast']",1
135753,nifty_408,2012-01-25,Novartis's Profit Drops,Fall,-0.0051,23,novartis profit drop,20,3,0,pharmacy,"['no', '##var', '##tis', 'profit', 'drop']",1
135819,nifty_409,2012-01-26,Bristol-Myers Net Rises,Neutral,-0.0005,23,bristol myers net rise,22,4,0,pharmacy,"['br', '##ist', '##ol', 'my', '##ers', 'net', 'rise']",1
135858,nifty_409,2012-01-26,Gas Titan's Blueprint Rests on Deals,Neutral,-0.0005,36,gas titan blueprint rest deal,29,5,0,pharmacy,"['gas', 't', '##ita', '##n', 'blue', '##print', 'rest', 'deal']",1
135926,nifty_411,2012-01-31,Biogen's Net Rises 25%,Rise,0.0088,22,biogen net rise,15,3,0,pharmacy,"['bio', '##gen', 'net', 'rise']",1
136253,nifty_412,2012-02-01,Research and Markets: Clinical Trials in CIS countries 2012 - Development Forecasts for 2012-2014,Neutral,0.0016,97,research and market clinical trial ci country development forecast for,70,10,0,pharmacy,"['research', 'and', 'market', 'clinical', 'trial', 'c', '##i', 'country', 'development', 'forecast', 'for']",1
136503,nifty_412,2012-02-01,Research and Markets: International Directory of Pharmaceutical Companies 2012: Your Connection to Key Decision-Makers around the World,Neutral,0.0016,135,research and market international directory pharmaceutical company your connection key decision maker around the world,118,15,0,pharmacy,"['research', 'and', 'market', 'international', 'directory', 'pharmaceutical', 'company', 'your', 'connection', 'key', 'decision', 'maker', 'around', 'the', 'world']",1
136549,nifty_412,2012-02-01,Irish Medical Device Association: Vibrant Med Tech Sector in Ireland Identifies Continued Evolution & Convergence in 4 Year Plan,Neutral,0.0016,128,irish medical device association vibrant med tech sector ireland identifies continued evolution convergence year plan,117,15,0,pharmacy,"['i', '##ris', '##h', 'medical', 'device', 'association', 'vibrant', 'me', '##d', 'tech', 'sector', 'i', '##rel', '##and', 'identifies', 'continued', 'evolution', 'convergence', 'year', 'plan']",1
136608,nifty_412,2012-02-01, Biotech Dealmaking Gets Off to a Strong Start in 2012,Neutral,0.0016,54,biotech dealmaking get off strong start,39,6,0,pharmacy,"['bio', '##tech', 'deal', '##making', 'get', 'off', 'strong', 'start']",1
136676,nifty_412,2012-02-01,"World's Leading Pharmaceutical Executives All Converging in Zurich, Switzerland on February 21-22, 2012 for Breakthrough Event",Neutral,0.0016,126,world leading pharmaceutical executive all converging zurich switzerland february for breakthrough event,104,12,0,pharmacy,"['world', 'leading', 'pharmaceutical', 'executive', 'all', 'con', '##ver', '##ging', 'zur', '##ich', 's', '##witz', '##erland', 'f', '##eb', '##ru', '##ary', 'for', 'breakthrough', 'event']",1
136689,nifty_412,2012-02-01,"Psychiatric Medication Spending Growth Slows, According to New Thomson Reuters Research",Neutral,0.0016,87,psychiatric medication spending growth slows according new thomson reuters research,83,10,0,pharmacy,"['psychiatric', 'medication', 'spending', 'growth', 'slow', '##s', 'according', 'new', 'th', '##oms', '##on', 're', '##uters', 'research']",1
136734,nifty_412,2012-02-01,"The Zacks Analyst Blog Highlights: Pfizer, Biogen Idec, Elan, Novartis and Roche",Neutral,0.0016,80,the zacks analyst blog highlight pfizer biogen idec elan novartis and roche,75,12,0,pharmacy,"['the', 'z', '##ack', '##s', 'analyst', 'blog', 'highlight', 'p', '##fi', '##zer', 'bio', '##gen', 'id', '##ec', 'el', '##an', 'no', '##var', '##tis', 'and', 'r', '##och', '##e']",1
136832,nifty_412,2012-02-01,Global Weight Management Market Analysis and Forecast Now Available at MarketPublishers.com,Neutral,0.0016,91,global weight management market analysis and forecast now available marketpublishers com,88,11,0,pharmacy,"['global', 'weight', 'management', 'market', 'analysis', 'and', 'forecast', 'now', 'available', 'market', '##pu', '##b', '##lish', '##ers', 'com']",1
136841,nifty_412,2012-02-01,REG - Merrion Pharm Plc - Further re Equity Funding Proposal,Neutral,0.0016,60,reg merrion pharm plc further equity funding proposal,53,8,0,pharmacy,"['re', '##g', 'me', '##rri', '##on', 'p', '##har', '##m', 'plc', 'further', 'equity', 'funding', 'proposal']",1
136908,nifty_412,2012-02-01,Research and Markets: Medical Device Companies Analysis - 50+ Major Companies and Subsidiaries,Neutral,0.0016,94,research and market medical device company analysis major company and subsidiary,80,11,0,pharmacy,"['research', 'and', 'market', 'medical', 'device', 'company', 'analysis', 'major', 'company', 'and', 'subsidiary']",1
136932,nifty_412,2012-02-01,"Horizon Healthcare Innovations, Duke, Rutgers Launch Nurse Training Collaborative",Neutral,0.0016,81,horizon healthcare innovation duke rutgers launch nurse training collaborative,78,9,0,pharmacy,"['horizon', 'healthcare', 'innovation', 'duke', 'r', '##ut', '##gers', 'launch', 'nurse', 'training', 'collaborative']",1
137908,nifty_417,2012-02-09,Research and Markets: Future German Cancer Diagnostics Market: Growth Opportunities and Business Expansion Strategies,Fall,-0.0074,117,research and market future german cancer diagnostics market growth opportunity and business expansion strategy,110,14,0,pharmacy,"['research', 'and', 'market', 'future', 'g', '##erman', 'cancer', 'diagnostic', '##s', 'market', 'growth', 'opportunity', 'and', 'business', 'expansion', 'strategy']",1
137979,nifty_417,2012-02-09,Delcath to Present at the 14th Annual BIO CEO & Investor Conference on February 14,Fall,-0.0074,82,delcath present the annual bio ceo investor conference february,63,9,0,pharmacy,"['del', '##cat', '##h', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference', 'f', '##eb', '##ru', '##ary']",1
138026,nifty_417,2012-02-09,Sucampo Announces Webcast of Its Presentation at the 14th Annual BIO CEO + Investor Conference,Fall,-0.0074,94,sucampo announces webcast it presentation the annual bio ceo investor conference,80,11,0,pharmacy,"['su', '##cam', '##po', 'announces', 'web', '##cast', 'it', 'presentation', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
138129,nifty_417,2012-02-09,Ambit Biosciences to Present at Two Upcoming Investor Conferences,Fall,-0.0074,65,ambit bioscience present two upcoming investor conference,57,7,0,pharmacy,"['am', '##bit', 'bio', '##science', 'present', 'two', 'upcoming', 'investor', 'conference']",1
138137,nifty_417,2012-02-09,Veloxis Pharmaceuticals to Present at 14th Annual BIO CEO & Investor Conference,Fall,-0.0074,79,veloxis pharmaceutical present annual bio ceo investor conference,65,8,0,pharmacy,"['ve', '##lo', '##xi', '##s', 'pharmaceutical', 'present', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
138141,nifty_417,2012-02-09,Aegerion Pharmaceuticals Announces Webcast of Investor Presentations at Upcoming Conferences,Fall,-0.0074,92,aegerion pharmaceutical announces webcast investor presentation upcoming conference,83,8,0,pharmacy,"['a', '##ege', '##rion', 'pharmaceutical', 'announces', 'web', '##cast', 'investor', 'presentation', 'upcoming', 'conference']",1
138146,nifty_417,2012-02-09,NovaBay Pharmaceuticals Provides Business Update and 2012 Outlook,Fall,-0.0074,65,novabay pharmaceutical provides business update and outlook,59,7,0,pharmacy,"['no', '##va', '##bay', 'pharmaceutical', 'provides', 'business', 'update', 'and', 'outlook']",1
138153,nifty_417,2012-02-09,Synergy Pharmaceuticals verzorgt presentatie tijdens 14e jaarlijkse BIO CEO & Investor Conference,Fall,-0.0074,97,synergy pharmaceutical verzorgt presentatie tijdens jaarlijkse bio ceo investor conference,90,10,0,pharmacy,"['s', '##yne', '##rgy', 'pharmaceutical', 've', '##rz', '##or', '##gt', 'present', '##ati', '##e', 't', '##i', '##j', '##den', '##s', 'j', '##aar', '##li', '##jk', '##se', 'bio', 'c', '##eo', 'investor', 'conference']",1
138278,nifty_417,2012-02-09,Celldex Therapeutics to Participate on Therapeutic Workshop Panel at the BIO CEO & Investor Conference,Fall,-0.0074,102,celldex therapeutic participate therapeutic workshop panel the bio ceo investor conference,90,11,0,pharmacy,"['cell', '##de', '##x', 'therapeutic', 'participate', 'therapeutic', 'workshop', 'panel', 'the', 'bio', 'c', '##eo', 'investor', 'conference']",1
138281,nifty_417,2012-02-09,Advaxis to Present at the 14th Annual BIO CEO & Investor Conference,Fall,-0.0074,67,advaxis present the annual bio ceo investor conference,54,8,0,pharmacy,"['ad', '##va', '##xi', '##s', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
138384,nifty_417,2012-02-09,Research and Markets: Generic Pharmaceuticals Market - A Global Analysis,Fall,-0.0074,72,research and market generic pharmaceutical market global analysis,65,8,0,pharmacy,"['research', 'and', 'market', 'generic', 'pharmaceutical', 'market', 'global', 'analysis']",1
138492,nifty_417,2012-02-09,Research and Markets: SThree Plc - Company Capsule - 2012,Fall,-0.0074,57,research and market sthree plc company capsule,46,7,0,pharmacy,"['research', 'and', 'market', 's', '##th', '##ree', 'plc', 'company', 'capsule']",1
138623,nifty_417,2012-02-09,Ligand to Present at the BIO CEO and Investor Conference on February 13,Fall,-0.0074,71,ligand present the bio ceo and investor conference february,59,9,0,pharmacy,"['l', '##igan', '##d', 'present', 'the', 'bio', 'c', '##eo', 'and', 'investor', 'conference', 'f', '##eb', '##ru', '##ary']",1
138654,nifty_417,2012-02-09,Research and Markets: Sotheby's - Company Capsule - A Crucial Resource - 2012,Fall,-0.0074,77,research and market sotheby company capsule crucial resource,60,8,0,pharmacy,"['research', 'and', 'market', 'so', '##the', '##by', 'company', 'capsule', 'crucial', 'resource']",1
138796,nifty_417,2012-02-09,Gilead Sciences to Present at Two Upcoming Investor Conferences,Fall,-0.0074,63,gilead science present two upcoming investor conference,55,7,0,pharmacy,"['g', '##ile', '##ad', 'science', 'present', 'two', 'upcoming', 'investor', 'conference']",1
139444,nifty_420,2012-02-15," Pharmaceutical-Bio Industry Closes the Door on 2011 With More Than $12 billion in North American Project Starts, an",Rise,0.0111,116,pharmaceutical bio industry close the door with more than billion north american project start,94,14,0,pharmacy,"['pharmaceutical', 'bio', 'industry', 'close', 'the', 'door', 'with', 'more', 'than', 'billion', 'north', 'am', '##eric', '##an', 'project', 'start']",1
139481,nifty_420,2012-02-15,Global Imaging Systems Expands Business in Iowa and Illinois with RK Dixon Acquisition,Rise,0.0111,86,global imaging system expands business iowa and illinois with dixon acquisition,79,11,0,pharmacy,"['global', 'imaging', 'system', 'expands', 'business', 'i', '##owa', 'and', 'ill', '##ino', '##is', 'with', 'di', '##xon', 'acquisition']",1
139530,nifty_420,2012-02-15, Medicity Reports Health Information Exchange Market Accelerated in 2011 as Organizations Prepare for Payment Reform and,Rise,0.0111,120,medicity report health information exchange market accelerated organization prepare for payment reform and,106,13,0,pharmacy,"['me', '##dic', '##ity', 'report', 'health', 'information', 'exchange', 'market', 'accelerated', 'organization', 'prepare', 'for', 'payment', 'reform', 'and']",1
139547,nifty_420,2012-02-15,"Research and Markets: Future Therapeutic Drug Monitoring Market: US, Europe, Japan",Rise,0.0111,82,research and market future therapeutic drug monitoring market europe japan,74,10,0,pharmacy,"['research', 'and', 'market', 'future', 'therapeutic', 'drug', 'monitoring', 'market', 'euro', '##pe', 'j', '##apa', '##n']",1
139606,nifty_420,2012-02-15,Research and Markets: Australia Diabetes Care Devices Market Outlook to 2017 - Glucose Monitoring and Insulin Delivery,Rise,0.0111,118,research and market australia diabetes care device market outlook glucose monitoring and insulin delivery,105,14,0,pharmacy,"['research', 'and', 'market', 'au', '##stra', '##lia', 'diabetes', 'care', 'device', 'market', 'outlook', 'glucose', 'monitoring', 'and', 'insulin', 'delivery']",1
139621,nifty_420,2012-02-15,Research and Markets: Future Japanese Cancer Diagnostics Market: Growth Opportunities and Business Expansion Strategies,Rise,0.0111,119,research and market future japanese cancer diagnostics market growth opportunity and business expansion strategy,112,14,0,pharmacy,"['research', 'and', 'market', 'future', 'j', '##apa', '##nese', 'cancer', 'diagnostic', '##s', 'market', 'growth', 'opportunity', 'and', 'business', 'expansion', 'strategy']",1
139852,nifty_420,2012-02-15,"Research and Markets: 2012 Report on the $85 Billion US Medical Equipment & Supplies Manufacturing Industry Featuring Baxter Intl, Boston Scientific, J&J; and Medtronic",Rise,0.0111,168,research and market report the billion medical equipment supply manufacturing industry featuring baxter intl boston scientific and medtronic,140,18,0,pharmacy,"['research', 'and', 'market', 'report', 'the', 'billion', 'medical', 'equipment', 'supply', 'manufacturing', 'industry', 'featuring', 'b', '##ax', '##ter', 'in', '##tl', 'b', '##ost', '##on', 'scientific', 'and', 'me', '##dt', '##ronic']",1
139898,nifty_420,2012-02-15,"Acella Pharmaceuticals, LLC Names Allen Fields as New VP, Head of R&D;",Rise,0.0111,70,acella pharmaceutical llc name allen field new head,51,8,0,pharmacy,"['ace', '##lla', 'pharmaceutical', 'll', '##c', 'name', 'all', '##en', 'field', 'new', 'head']",1
139906,nifty_420,2012-02-15,Analysis: Drugmakers relegate Europe as crisis saps returns,Rise,0.0111,59,analysis drugmakers relegate europe crisis sap return,53,7,0,pharmacy,"['analysis', 'drug', '##makers', 're', '##leg', '##ate', 'euro', '##pe', 'crisis', 'sa', '##p', 'return']",1
139908,nifty_420,2012-02-15,Research and Markets: Insulin Delivery Systems Market Forecast to 2014,Rise,0.0111,70,research and market insulin delivery system market forecast,59,8,0,pharmacy,"['research', 'and', 'market', 'insulin', 'delivery', 'system', 'market', 'forecast']",1
139926,nifty_420,2012-02-15,"Research and Markets: Infertility Drugs And Devices Market - Global And China Forecast, Market Share, Size, Growth And Industry Analysis (2010-2017)",Rise,0.0111,148,research and market infertility drug and device market global and china forecast market share size growth and industry analysis,127,19,0,pharmacy,"['research', 'and', 'market', 'in', '##fer', '##tility', 'drug', 'and', 'device', 'market', 'global', 'and', 'chin', '##a', 'forecast', 'market', 'share', 'size', 'growth', 'and', 'industry', 'analysis']",1
139996,nifty_420,2012-02-15,Research and Markets: Sick on the Job? - Myths and Realities about Mental Health and Work,Rise,0.0111,89,research and market sick the job myth and reality about mental health and work,78,14,0,pharmacy,"['research', 'and', 'market', 'sick', 'the', 'job', 'myth', 'and', 'reality', 'about', 'mental', 'health', 'and', 'work']",1
140045,nifty_420,2012-02-15,Research and Markets: 2012 Report on the $45 Billion US Medical & Diagnostic Laboratories Featuring Major Companies like Quest Diagnostics and Laboratory Corporation of America,Rise,0.0111,176,research and market report the billion medical diagnostic laboratory featuring major company like quest diagnostics and laboratory corporation america,150,19,0,pharmacy,"['research', 'and', 'market', 'report', 'the', 'billion', 'medical', 'diagnostic', 'laboratory', 'featuring', 'major', 'company', 'like', 'quest', 'diagnostic', '##s', 'and', 'laboratory', 'corporation', 'am', '##eric', '##a']",1
